Datum,WGS 84,,,,
WP,UTM,267,53S,637799,3851317
WP,UTM,268,53S,638204,3850819
WP,UTM,269,53S,639369,3851060
WP,UTM,270,53S,639807,3852194
WP,UTM,271,53S,639582,3852290
WP,UTM,272,53S,639020,3852045
WP,UTM,273,53S,637869,3852096
WP,UTM,274,53S,638031,3854564
WP,UTM,275,53S,636031,3856189
WP,UTM,276,53S,636255,3856194
WP,UTM,277,53S,637013,3854784
WP,UTM,278,53S,637168,3854636
WP,UTM,279,53S,637623,3854669
WP,UTM,280,53S,637488,3854080
WP,UTM,281,53S,637786,3854250
WP,UTM,282,53S,637300,3853918
WP,UTM,283,53S,636881,3854302
WP,UTM,284,53S,636439,3854326
WP,UTM,285,53S,636414,3853438
WP,UTM,286,53S,635681,3853913
WP,UTM,287,53S,635561,3854926
WP,UTM,288,53S,635682,3854824
WP,UTM,289,53S,634489,3854570
WP,UTM,290,53S,634345,3854540
WP,UTM,291,53S,633353,3854110
WP,UTM,292,53S,633542,3854293
WP,UTM,293,53S,633212,3854420
WP,UTM,294,53S,632623,3854764
WP,UTM,295,53S,632511,3854834
WP,UTM,296,53S,632273,3855019
WP,UTM,297,53S,631528,3853316
WP,UTM,298,53S,631393,3853453
WP,UTM,299,53S,630965,3853585
WP,UTM,300,53S,630599,3853627
WP,UTM,301,53S,630250,3853439
WP,UTM,302,53S,630314,3854146
WP,UTM,303,53S,629742,3854125
WP,UTM,304,53S,629552,3853935
WP,UTM,305,53S,629240,3853684
WP,UTM,306,53S,629229,3852813
WP,UTM,307,53S,629503,3852532
WP,UTM,308,53S,630042,3852310
WP,UTM,309,53S,630227,3851894
WP,UTM,310,53S,630666,3851829
WP,UTM,311,53S,630878,3851832
WP,UTM,312,53S,631661,3849908
WP,UTM,313,53S,631191,3850398
WP,UTM,314,53S,631260,3850859
WP,UTM,315,53S,631545,3851427
WP,UTM,316,53S,632724,3852662
WP,UTM,317,53S,633140,3852416
WP,UTM,318,53S,633317,3852291
WP,UTM,319,53S,634401,3853113
WP,UTM,320,53S,633341,3852057
WP,UTM,321,53S,633482,3851935
WP,UTM,322,53S,633931,3851792
WP,UTM,323,53S,634092,3851659
WP,UTM,324,53S,634257,3851527
WP,UTM,325,53S,634467,3851597
WP,UTM,326,53S,634652,3851289
WP,UTM,327,53S,634866,3851159
WP,UTM,328,53S,635084,3850890
WP,UTM,329,53S,634445,3850933
WP,UTM,330,53S,634686,3850808
WP,UTM,331,53S,634343,3850999
WP,UTM,332,53S,634323,3845863
WP,UTM,333,53S,634487,3846159
WP,UTM,334,53S,634786,3847004
WP,UTM,335,53S,634728,3845532
WP,UTM,336,53S,634061,3845765
WP,UTM,337,53S,633081,3845871
WP,UTM,338,53S,633640,3845424
WP,UTM,339,53S,633472,3845000
WP,UTM,340,53S,633840,3844653
WP,UTM,341,53S,633983,3844812
WP,UTM,342,53S,632520,3846240
WP,UTM,343,53S,632715,3846521
WP,UTM,344,53S,632528,3846907
WP,UTM,345,53S,631518,3846408
WP,UTM,346,53S,631531,3847489
WP,UTM,347,53S,630714,3847400
WP,UTM,348,53S,632016,3847188
WP,UTM,349,53S,632231,3847110
WP,UTM,350,53S,633055,3847508
WP,UTM,351,53S,633296,3847178
WP,UTM,352,53S,633096,3846721
WP,UTM,353,53S,632945,3846925
WP,UTM,354,53S,632443,3847978
WP,UTM,355,53S,632230,3848270
WP,UTM,356,53S,632927,3847989
WP,UTM,357,53S,632607,3847754
WP,UTM,358,53S,632165,3849270
WP,UTM,359,53S,632321,3848801
WP,UTM,360,53S,632233,3849944
WP,UTM,361,53S,632268,3850434
WP,UTM,362,53S,632535,3849775
WP,UTM,363,53S,632899,3849860
WP,UTM,364,53S,633032,3849507
WP,UTM,365,53S,632621,3849357
WP,UTM,366,53S,632784,3849022
WP,UTM,367,53S,632943,3849310
WP,UTM,368,53S,633352,3848838
WP,UTM,369,53S,633167,3848452
WP,UTM,370,53S,633817,3848466
WP,UTM,371,53S,633666,3848186
WP,UTM,372,53S,633510,3847900
WP,UTM,373,53S,634080,3847835
WP,UTM,374,53S,633852,3847352
WP,UTM,375,53S,634002,3847025
WP,UTM,376,53S,634155,3847306
WP,UTM,377,53S,642303,3861851
WP,UTM,378,53S,642400,3861353
WP,UTM,379,53S,636633,3858864
